Food name,Mfg Date,Ingredient 1,Ingredient 2,Ingredient 3,Exp date,Preservatives
dal makhani,02-05-2024,honey,curry powder,bay leaves,29-02-2025,4.45
kachori,19-06-2024,lime juice,apricots,fennel seeds,19-01-2025,3.92
gulab jamun,21-03-2024,eggs,asafoetida,mustard oil,05-02-2025,3.13
pakora,28-09-2024,chili powder,cashews,curry leaves,11-09-2024,1.25
bhaji,04-10-2024,vinegar,pistachios,mustard seeds,12-08-2025,0.72
vada,30-10-2024,milk,apricots,gram flour,25-01-2025,2.2
kulfi,05-11-2024,cheese,yogurt,tomato,18-03-2024,1.43
pakora,30-06-2024,ginger,pineapple,chickpeas,24-04-2025,0.43
puri,23-08-2024,paprika,dates,clarified butter,03-09-2025,1.68
samosa,21-02-2024,honey,lentils,ginger,13-04-2025,0.85
kachori,26-09-2024,parsley,asafoetida,garlic,12-10-2025,0.37
pulao,28-11-2024,butter,banana,cinnamon,31-05-2025,1.96
momo,10-06-2024,honey,pomegranate,cardamom,22-06-2025,3.18
palak paneer,11-05-2024,spinach,black pepper,garam flour,27-12-2024,4.39
kathi roll,22-10-2024,eggs,black pepper,black gram,10-09-2024,0.73
palak paneer,25-10-2024,turmeric,black pepper,poppy seeds,01-01-2025,3.94
naan,13-03-2024,soy sauce,garlic,paneer,18-10-2025,4.51
momo,19-01-2024,broccoli,dates,asafoetida,06-07-2024,4.19
tandoori chicken,24-08-2024,carrots,ginger,tomato,14-08-2025,3.91
paratha,29-06-2024,oregano,paprika,dates,27-08-2025,1.62
rabri,19-02-2024,honey,mint leaves,nutmeg,14-10-2025,0.14
rabri,29-10-2024,ginger,cilantro,cardamom,13-04-2025,1.71
pakora,13-05-2024,rosemary,chickpeas,tomato,13-11-2025,4.3
rabri,23-12-2024,olive oil,basmati rice,clarified butter,06-05-2025,0.95
roti,03-08-2024,mayonnaise,paprika,mint,17-10-2025,3
kheer,23-06-2024,paprika,cloves,cinnamon,21-02-2025,2.33
tandoori chicken,01-10-2024,cheese,mint leaves,coriander,11-10-2025,0.6
chaat,14-07-2024,honey,red chili powder,beans,18-09-2025,4.26
masala dosa,29-01-2024,butter,pomegranate,amchur,02-05-2025,1.73
kheema,07-03-2024,brown sugar,poppy seeds,ghee,17-12-2024,3.97
rasgulla,04-04-2024,garlic,dates,cardamom,13-04-2025,3.5
kathi roll,16-06-2024,butter,saffron,curry leaves,18-03-2025,0.78
momo,14-01-2024,onions,ginger,black gram,28-04-2025,4.81
biriyani,07-09-2024,lemon juice,cinnamon,paneer,25-08-2025,0.17
